3684	...	404
4101	0.1	75
5443	0.10	26
625	0.2	87
4726	0.25	30
4933	0.3	90
2616	0.4	80
2203	0.5	122
60	0.50	58
3703	0.6	64
3250	0.7	79
3432	0.8	56
3366	0.9	66
4118	0/92	21
5658	00	68
5966	000	186
5568	1,000	319
4186	1,200	31
5145	1,300	22
5109	1,500	42
2613	1,500,000	34
1284	1,700	23
3269	1-1/2	103
1417	1-1/4	133
4120	1-1/8	39
5257	1-3/4	29
5693	1-3/8	43
5084	1-5/8	21
2124	1-7/8	25
1274	1.0	98
89	1.00	57
1152	1.01	40
1751	1.02	41
5571	1.03	30
4196	1.04	45
2059	1.05	58
3651	1.06	30
1556	1.07	33
2614	1.08	39
3920	1.09	37
4273	1.1	198
3777	1.10	52
2333	1.11	38
4083	1.12	42
1334	1.13	38
871	1.14	24
760	1.15	62
3121	1.16	49
4235	1.17	32
1344	1.18	30
1156	1.19	42
758	1.2	231
831	1.20	56
4442	1.22	34
2200	1.23	45
3727	1.24	27
204	1.25	87
3919	1.26	32
3519	1.27	37
5524	1.28	31
1610	1.29	29
1994	1.3	205
5273	1.30	47
5830	1.31	24
2608	1.32	33
2635	1.33	22
359	1.34	42
306	1.35	49
5780	1.36	34
4932	1.37	27
597	1.38	39
5955	1.39	26
4904	1.4	179
884	1.40	36
3908	1.41	24
49	1.43	22
5411	1.44	23
707	1.45	38
466	1.46	28
1256	1.47	29
1390	1.5	405
2939	1.50	90
4614	1.51	33
407	1.52	27
3163	1.53	27
2005	1.54	29
70	1.55	46
1448	1.56	22
3276	1.58	28
2953	1.59	24
4493	1.6	138
1151	1.60	58
5659	1.62	36
5178	1.63	20
3721	1.64	35
5428	1.65	37
1652	1.66	25
984	1.67	23
2148	1.7	133
173	1.70	32
5182	1.71	23
4130	1.73	24
1049	1.75	74
5363	1.76	22
1379	1.77	28
4113	1.78	33
2821	1.79	31
5391	1.8	156
3377	1.80	49
2932	1.81	26
2723	1.83	24
2782	1.85	33
5010	1.87	44
2057	1.9	149
3570	1.91	22
386	1.92	20
2919	1.95	33
4755	1.99	20
1586	1/16	25
853	1/2	139
272	1/4	94
2867	1/8	79
4621	10	1802
1855	10,000	204
887	10-year	120
5748	10.0	32
2863	10.1	56
3639	10.2	67
